Attribute,Target,Rulex,LIME,SHAP
AST_BLOOD,REC_IM,0.0023027046,0.0275967059,0.1798826084
NA_R_2_n,ZSN,0.0189823604,0.0404426872,0.1793233122
zab_leg_01_1.0,P_IM_STEN,0.0,0.0127371166,0.17918527
lat_im_1.0,P_IM_STEN,0.0,0.0052641449,0.179155205
K_BLOOD,FIBR_PREDS,0.0169474657,0.031153724,0.1774816075
NA_R_1_n,REC_IM,0.004668098,0.0284750275,0.17307572
STENOK_AN_4.0,P_IM_STEN,0.0,0.0223237445,0.17245749
S_AD_ORIT,A_V_BLOK,0.0077571555,0.0692621947,0.1701944845
NA_BLOOD,PREDS_TAH,0.0147629744,0.0054900619,0.1678414634
S_AD_ORIT,PREDS_TAH,0.0,0.0054051938,0.1663888852
K_BLOOD,OTEK_LANC,0.000272284,0.0156000623,0.1621130798
fibr_ter_03_1.0,P_IM_STEN,0.0,0.0106373581,0.16188562
NOT_NA_KB_1.0,DRESSLER,0.0,0.0044611286,0.1618011971
D_AD_ORIT,ZSN,0.0047319547,0.0049044069,0.1615282186
LID_KB_1.0,REC_IM,0.0,0.0040740566,0.1605966533
TIME_B_S_8.0,DRESSLER,0.0,0.0148211076,0.15999275
NOT_NA_KB_nan,DRESSLER,0.0,0.0062434977,0.1598949831
LID_S_n_1.0,REC_IM,0.0,0.0054259754,0.15904753
D_AD_ORIT,REC_IM,0.0004900086,0.0365807145,0.1579975762
ritm_ecg_p_01_nan,P_IM_STEN,0.0,0.0050981086,0.1568477938
SIM_GIPERT_1.0,REC_IM,0.0,0.0205677649,0.15323348
TIME_B_S_8.0,REC_IM,0.0,0.0076568841,0.15303162
K_BLOOD,PREDS_TAH,0.0,0.0043199949,0.1501146976
NA_R_1_n,ZSN,0.0011915865,0.0138990671,0.1466707719
NA_R_1_n,FIBR_JELUD,0.0,0.004378862,0.1456704043
NA_R_1_n,P_IM_STEN,0.0005878802,0.0212526013,0.1438552357
S_AD_ORIT,P_IM_STEN,0.0000594839,0.0178506081,0.1426269874
DLIT_AG_7.0,DRESSLER,0.0,0.0074383745,0.1421033127
FK_STENOK_nan,REC_IM,0.0,0.0026620719,0.14201705
AST_BLOOD,FIBR_JELUD,0.0079131133,0.0063947421,0.1407084494
inf_im_2.0,DRESSLER,0.0,0.0087627961,0.14045252
IBS_POST_1.0,REC_IM,0.0,0.0039737697,0.140344214
NA_R_1_n,PREDS_TAH,0.0,0.0056032652,0.1401088058
ant_im_1.0,REC_IM,0.0,0.0063075038,0.1381598704
NA_KB_1.0,DRESSLER,0.0,0.0050966823,0.1379628086
