Attribute,Target,Rulex,SHAP,LIME,Ablation ,Cum_Ablation,Curr_Pred,Org_Pred
SEX_1,DRESSLER,0.0,0.053334007,0.0074185329,0.0108243668,0.0323989551,0.3273352023,0.3394624233
FK_STENOK_nan,DRESSLER,0.0,0.0473390167,0.0034937757,0.0044478221,0.0062147602,0.2648776458,0.2576654767
NOT_NA_2_n,DRESSLER,0.0,0.0398119712,0.0317368717,0.0053267857,0.0117442115,0.3245745877,0.3366490829
ritm_ecg_p_01_1.0,DRESSLER,0.0,0.0390741305,0.0046486114,0.0072049253,0.0152793127,0.3420344076,0.3356957098
NOT_NA_3_n,OTEK_LANC,0.055054789,0.0343713876,0.0064942217,0.0031706354,0.0074881947,0.3829929327,0.3803907204
NA_R_3_n,OTEK_LANC,0.0237111012,0.0337513643,0.0166454071,0.0028811712,0.0065092014,0.380599625,0.3803907204
NA_KB_nan,DRESSLER,0.0,0.0334812963,0.0043743921,0.007464621,0.028921994,0.3374294452,0.3371753963
ASP_S_n_1.0,DRESSLER,0.0,0.0315376708,0.0,0.0026268451,0.0115721207,0.3438765481,0.3418203956
B_BLOK_S_n_1.0,DRESSLER,0.0,0.0305969133,0.0031902869,0.0018393671,0.0016857075,0.3472288658,0.3446689147
NA_R_2_n,PREDS_TAH,0.007641996,0.0257562808,0.0106954894,0.0024519717,0.0035238589,0.1775290972,0.1785477695
NOT_NA_3_n,DRESSLER,0.0016349381,0.0195641152,0.0113623768,0.0041261115,0.0050698769,0.3369197155,0.3366490829
NOT_NA_2_n,OTEK_LANC,0.0122329629,0.019199344,0.0033553365,0.0013420655,0.0030324257,0.381457889,0.3803907204
n_p_ecg_p_07_1.0,DRESSLER,0.0,0.0136310218,0.0098691218,0.0000000417,0.002714369,0.2648121431,0.2591758641
NA_R_2_n,DRESSLER,0.0010523803,0.0128554492,0.0275925259,0.0007322212,0.0059545752,0.3414226051,0.3366490829
GIPO_K_nan,DRESSLER,0.0,0.0127721752,0.0047480775,0.0017812916,0.0056964499,0.4232591902,0.4184552065
NOT_NA_2_n,PREDS_TAH,0.0003405764,0.0077132601,0.0054233265,0.0002298009,0.0003444098,0.1789152487,0.1785477695
TIME_B_S_3.0,DRESSLER,0.0,0.0070468113,0.0073290426,0.0000000205,0.0000887911,0.191995818,0.191818254
NOT_NA_3_n,PREDS_TAH,0.0030225652,0.0031724021,0.0052502867,0.000167433,0.0007783994,0.1779672446,0.1785477695
NA_R_3_n,DRESSLER,0.0040987204,0.0,0.0089509029,0.0000000329,0.0,0.3366490829,0.3366490829
LET_IS_asystole,DRESSLER,0.0,0.0,0.0187514161,0.0000000658,0.0,0.33988998,0.3398899153
STENOK_AN_nan,DRESSLER,0.0,0.0,0.0065248082,0.0000000319,0.0,0.2660338353,0.2660338133
ZSN_A_nan,DRESSLER,0.0,0.0,0.0170190238,0.0000000658,0.0,0.33988998,0.3398899153
NITR_S_nan,DRESSLER,0.0,0.0,0.0038668598,0.0000000205,0.0,0.1918182367,0.191818254
fibr_ter_02_1.0,DRESSLER,0.0,0.0,0.0190658098,0.0,0.0,0.3780338043,0.3780338043
n_r_ecg_p_04_1.0,DRESSLER,0.0,0.0,0.0199971539,0.0,0.0,0.3780338043,0.3780338043
O_L_POST_1.0,DRESSLER,0.0,0.0,0.0222678904,0.0,0.0,0.3780338043,0.3780338043
INF_ANAM_3.0,DRESSLER,0.0,0.0,0.0060918312,0.0000000599,0.0,0.4258452509,0.4258451879
DLIT_AG_2.0,DRESSLER,0.0,0.0,0.0139366,0.0000000598,0.0,0.6261065846,0.6261065248
nr_03_1.0,DRESSLER,0.0,0.0,0.0199748361,0.0000000598,0.0,0.6261065846,0.6261065248
R_AB_2_n_2.0,DRESSLER,0.0,0.0,0.0151348592,0.0000000598,0.0,0.6261065846,0.6261065248
STENOK_AN_3.0,DRESSLER,0.0,0.0,0.0147869724,0.0000000447,0.0,0.298335454,0.2983355073
